ID,City,Show Name,Date,Theater Name,Link to Show
15760,Amsterdam,Michael Pilarczyk - Rust in je hoofd,2023-05-21,Koninklijk Theater Carré Amsterdam,https://carre.nl/voorstelling/michaelpilarczyk
15994,Amsterdam,Richard Groenendijk - Voor Iedereen Beter,2023-04-14,Koninklijk Theater Carré Amsterdam,https://carre.nl/voorstelling/richard-groenendijk-voor-iedereen-beter
16075,Amsterdam,Birdy,2023-04-11,Koninklijk Theater Carré Amsterdam,https://carre.nl/voorstelling/birdy
16092,Amsterdam,Spinvis,2024-01-25,Koninklijk Theater Carré Amsterdam,https://carre.nl/voorstelling/spinvis-2022
16182,Amsterdam,Waylon - Gewoon Willem,2023-04-08,Koninklijk Theater Carré Amsterdam,https://carre.nl/voorstelling/waylon-gewoon-willem
16205,Amsterdam,Fidelio - Nederlandse Reisopera,2023-05-20,Koninklijk Theater Carré Amsterdam,https://carre.nl/voorstelling/fidelio
16218,Amsterdam,Paulien Cornelisse,2023-04-05,Koninklijk Theater Carré Amsterdam,https://carre.nl/voorstelling/paulien-cornelisse-aanstalten
16238,Amsterdam,METROPOLE ORKEST & EUROPEAN SPACE AGENCY,2023-04-25,Koninklijk Theater Carré Amsterdam,https://carre.nl/voorstelling/metropole-orkest-esa
16236,Amsterdam,René van Meurs - 2636,2023-06-09,Koninklijk Theater Carré Amsterdam,https://carre.nl/voorstelling/rene-van-meurs-2636
16249,Amsterdam,Stef Bos - Bitterlief,2023-06-21,Koninklijk Theater Carré Amsterdam,https://carre.nl/voorstelling/stef-bos-bitterlief
16256,Amsterdam,Meau,2023-04-13,Koninklijk Theater Carré Amsterdam,https://carre.nl/voorstelling/meau
16263,Amsterdam,Boyzlife - Old School Tour,2023-04-12,Koninklijk Theater Carré Amsterdam,https://carre.nl/voorstelling/boyzlife
16264,Amsterdam,ISH Dance Collective - FTBLL - Can you kick it,2023-03-26,Koninklijk Theater Carré Amsterdam,https://carre.nl/voorstelling/ftbll-23
16280,Amsterdam,Katie Melua - Love & Money Tour 2023,2023-04-17,Koninklijk Theater Carré Amsterdam,https://carre.nl/voorstelling/katie-melua
16284,Amsterdam,Bijelo Dugme,2023-04-29,Koninklijk Theater Carré Amsterdam,https://carre.nl/voorstelling/bijelo-dugme
16289,Amsterdam,Jay Shetty - World Tour: Love Rules,2023-05-15,Koninklijk Theater Carré Amsterdam,https://carre.nl/voorstelling/jay-shetty
16300,Amsterdam,Raymond Van Het Groenewoud,2023-12-07,Koninklijk Theater Carré Amsterdam,https://carre.nl/voorstelling/raymond-van-het-groenewoud
16301,Amsterdam,Ellen ten Damme - Barock,2023-02-22,Koninklijk Theater Carré Amsterdam,https://carre.nl/voorstelling/ellen-ten-damme
16302,Amsterdam,Cem Adrian,2023-04-09,Koninklijk Theater Carré Amsterdam,https://carre.nl/voorstelling/cem-adrian
16305,Amsterdam,Jo Koy World Tour,2023-04-28,Koninklijk Theater Carré Amsterdam,https://carre.nl/voorstelling/jo-koy
16309,Amsterdam,Louis Cole & Metropole Orkest,2023-06-07,Koninklijk Theater Carré Amsterdam,https://carre.nl/voorstelling/louis-cole-metropole-orkest
16312,Amsterdam,Quentin Tarantino - Cinema Speculation Conversation,2023-04-02,Koninklijk Theater Carré Amsterdam,https://carre.nl/voorstelling/quentin-tarantino
16314,Amsterdam,Typhoon,2023-10-05,Koninklijk Theater Carré Amsterdam,https://carre.nl/voorstelling/typhoon
16319,Amsterdam,De Grote Megalomane Giro d’Italia Voorbeschouwing,2023-04-30,Koninklijk Theater Carré Amsterdam,https://carre.nl/voorstelling/in-het-wiel
16320,Amsterdam,Caetano Veloso - Meu Coco,2023-09-18,Koninklijk Theater Carré Amsterdam,https://carre.nl/voorstelling/caetano-veloso
